pdb	trunk	DockQ_HA	iptm	aggregate_score
8aom	1	0.7586627999220535	0.7215155363082886	0.742700457572937
8aom	2	0.7741534121530793	0.7403332591056824	0.7595480680465698
8aom	3	0.7267952644199118	0.7289541363716125	0.7499362230300903
8aom	4	0.7615297465613167	0.7387012243270874	0.7581347227096558
8apy	0	0.8290453713834722	0.8402776122093201	0.8602129220962524
8apy	1	0.8207514766404483	0.8322855234146118	0.8534609079360962
8apy	2	0.8136676716406067	0.8319547772407532	0.8529539108276367
8apy	3	0.834340494840334	0.8394394516944885	0.8593104481697083
8apy	4	0.8438190304365074	0.8322065472602844	0.8533002138137817
8b17	0	0.1466024635657695	0.3835086226463318	0.4727175235748291
8b17	1		0.3281536400318146	0.4251974821090698
8b17	2	0.2076419037814045	0.3880140781402588	0.4769000709056854
8b17	3	0.259079630459214	0.3749940097332001	0.4654742479324341
8b17	4		0.33423420786857605	0.4307680130004883
8b18	0		0.33267343044281006	0.4292100667953491
8b18	1	0.236538305001337	0.3773474097251892	0.4676108956336975
8b18	2		0.33608752489089966	0.43249958753585815
8b18	3		0.33747318387031555	0.43336576223373413
8b18	4		0.3381131887435913	0.4339098334312439
8b19	0		0.3305390179157257	0.4274274706840515
8b19	1	0.1460878200043677	0.3676190972328186	0.4591415524482727
8b19	2	0.0657116336587743	0.3537238836288452	0.44751495122909546
8b19	3	0.0793069392270756	0.37763431668281555	0.4675689935684204
8b19	4		0.32894167304039	0.4258148670196533
8b1a	0	0.0656115592566244	0.34546583890914917	0.44004517793655396
8b1a	1	0.2877559551602377	0.3867528736591339	0.47522425651550293
8b1a	2	0.1420017370400097	0.35087791085243225	0.4450802206993103
8b1a	3	0.0753952798409233	0.36275020241737366	0.45484358072280884
8b1a	4		0.3301675617694855	0.4269956350326538
8b1d	0	0.020741822313809	0.3379790484905243	0.4337729513645172
8b1d	1	0.0729921068709012	0.33540159463882446	0.4311915636062622
8b1d	2	0.0234216251431847	0.33437401056289673	0.43089476227760315
8b1d	3		0.33262038230895996	0.4290889501571655
8b1d	4	0.0668384697588809	0.34015166759490967	0.43562108278274536
8b1e	0	0.0197682411842183	0.33790338039398193	0.43368586897850037
8b1e	1	0.1479090686127855	0.37904128432273865	0.46909070014953613
8b1e	2	0.0211374145040126	0.3361562490463257	0.4321633279323578
8b1e	3	0.2406019380143848	0.38155096769332886	0.4711616039276123
8b1e	4	0.2835458086960845	0.3961907625198364	0.483370840549469
8b1f	0		0.3264867961406708	0.42337173223495483
8b1f	2	0.0986427048126094	0.37571749091148376	0.46571028232574463
8b1f	3	0.0907448697082784	0.37539613246917725	0.465155690908432
8b1f	4	0.2545885114734207	0.3886714577674866	0.47671371698379517
8b1g	0		0.33140501379966736	0.42776554822921753
8b1g	1		0.33432909846305847	0.4305371046066284
8b1g	2		0.3285379707813263	0.4250659942626953
